COUNTY_ID,FYEAR,YIELD
AL_MARENGO,2013,121.1
AL_MONTGOMERY,2013,133.0
AL_PERRY,2013,129.8
AL_BALDWIN,2013,156.0
AL_CONECUH,2013,131.3
AL_ESCAMBIA,2013,96.8
AL_MOBILE,2013,163.4
AL_MONROE,2013,125.6
AL_WASHINGTON,2013,95.0
AL_BLOUNT,2013,137.1
AL_CALHOUN,2013,117.4
AL_CHEROKEE,2013,121.9
AL_CULLMAN,2013,130.2
AL_DE_KALB,2013,140.5
AL_ETOWAH,2013,132.1
AL_JACKSON,2013,131.9
AL_MARSHALL,2013,120.9
AL_COLBERT,2013,182.2
AL_FRANKLIN,2013,87.9
AL_LAUDERDALE,2013,154.6
AL_LAWRENCE,2013,172.0
AL_LIMESTONE,2013,159.3
AL_MADISON,2013,161.6
AL_MORGAN,2013,130.1
AL_CHILTON,2013,71.3
AL_FAYETTE,2013,103.5
AL_LAMAR,2013,124.7
AL_RANDOLPH,2013,101.7
AL_SHELBY,2013,91.1
AL_TALLADEGA,2013,158.9
AL_TUSCALOOSA,2013,147.2
AL_WALKER,2013,136.4
AL_BARBOUR,2013,153.8
AL_COFFEE,2013,106.6
AL_COVINGTON,2013,120.3
AL_DALE,2013,142.1
AL_HENRY,2013,109.7
AL_HOUSTON,2013,130.9
AL_PIKE,2013,90.4
AL_RUSSELL,2013,135.0
AL_BULLOCK,2012,142.0
AL_DALLAS,2012,116.2
AL_ELMORE,2012,212.5
AL_HALE,2012,143.9
AL_PERRY,2012,127.4
AL_BALDWIN,2012,123.3
AL_BUTLER,2012,122.2
AL_CONECUH,2012,124.0
AL_ESCAMBIA,2012,113.7
AL_MONROE,2012,118.5
AL_WILCOX,2012,112.0
AL_BLOUNT,2012,70.0
AL_CALHOUN,2012,98.7
AL_CHEROKEE,2012,80.9
AL_CULLMAN,2012,94.6
AL_DE_KALB,2012,103.5
AL_ETOWAH,2012,83.5
AL_JACKSON,2012,109.8
AL_MARSHALL,2012,86.7
AL_COLBERT,2012,102.4
AL_FRANKLIN,2012,83.4
AL_LAUDERDALE,2012,75.7
AL_LAWRENCE,2012,78.6
AL_LIMESTONE,2012,71.9
AL_MADISON,2012,110.6
AL_MORGAN,2012,56.9
AL_FAYETTE,2012,85.2
AL_LAMAR,2012,112.5
AL_RANDOLPH,2012,82.0
AL_SHELBY,2012,136.7
AL_TALLADEGA,2012,130.2
AL_TUSCALOOSA,2012,103.1
AL_COFFEE,2012,77.5
AL_DALE,2012,110.0
AL_HENRY,2012,96.5
AL_HOUSTON,2012,135.0
AL_PIKE,2012,105.9
AL_RUSSELL,2012,70.0
AL_AUTAUGA,2011,111.1
AL_DALLAS,2011,73.8
AL_ELMORE,2011,99.5
AL_GREENE,2011,31.9
AL_HALE,2011,85.6
AL_BALDWIN,2011,65.9
AL_ESCAMBIA,2011,45.7
AL_MONROE,2011,72.4
AL_WASHINGTON,2011,43.9
AL_BLOUNT,2011,109.5
